rank,Video,Video views,Likes,Dislikes,Category,published
1,"20 Tennis shots if they were not filmed, NOBODY would believe them",3471237.0,19023.0,859,Sin Categoría,2017
2,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,54071677.0,3497955.0,"78,799",Music,2019
3,JoJo Siwa - Karma (Official Video),34206747.0,293563.0,0,Music,2024
4,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,6643904918.0,44861602.0,0,Music,2015
5,伊賀の天然水強炭酸水「家族で、シュワシェア。」篇　15秒,236085971.0,38.0,0,Sin Categoría,2021
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,76834495.0,804353.0,"21,195",Music,2019
7,David Kushner - Daylight (Official Music Video),18558390.0,680732.0,0,Music,2023
8,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,96686.0,1007.0,82,Entertainment,2018
9,Kulit Kamu Kulit Kering dan Sensitif? Pakai Aveeno Skin Relief Lotion!,9605969.0,6.0,0,Sin Categoría,2023
10,Totti with a funny penalty,8353318.0,5613.0,"1,082",Sports,2007
11,Babilala ที่ทั้งแม่และลูกชื่นชอบนั้นคืออะไร?,8718326.0,46.0,0,Sin Categoría,2021
12,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)",7396199.0,320910.0,"6,485",Music,2020
13,Every Moment With You (너와의 모든 지금),7958181.0,54903.0,0,Music,2024
14,Not a mechanical baby,14612153.0,3339.0,156,Entertainment,2011
15,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal",13894905.0,452087.0,0,Music,2023
16,pevecov popek poje na sexy back,37460296.0,4533.0,"10,949",Comedy,2007
17,"Luck Ra, Nicki Nicole - DOCTOR",8286096.0,149421.0,0,Music,2024
18,Jay Wheeler - Te La Dedico / For You (Official Video),13764098.0,111497.0,0,Music,2023
19,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)",6953838.0,116350.0,"2,059",Music,2021
20,Grandma Dottie's Prom Dress Surprise,8414676.0,2442.0,103,People & Blogs,2012
21,Rels B - LA LATINA (Videoclip Oficial),5851411.0,155543.0,"3,504",Music,2019
22,Together We Can Make a Difference,10627797.0,21.0,6,Sin Categoría,2019
23,Get back on your feet with our top rated lawyers,98468536.0,5492.0,0,Sin Categoría,2022
24,Jim Carrey THE FUNNIEST video,8322488.0,6216.0,"11,521",Comedy,2007
25,TEST γιανα δεις αν έχεις καλά ματιά,699382.0,8436.0,"1,756",People & Blogs,2017
26,【急募】中途採用エントリー募集中　ビジョン・コンサルティング,11638201.0,98.0,0,Sin Categoría,2022
27,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)",5756535.0,111266.0,0,Music,2024
28,MILLION DOLLAR BABY,11894076.0,226375.0,0,Music,2024
29,03 - 03 - 2015 AimBot,5923017.0,62.0,307,Gaming,2015
30,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz",1097393695.0,9038575.0,0,People & Blogs,2018
31,Cat mom hugs baby kitten,59857489.0,347772.0,"8,212",Pets & Animals,2011
32,"Biggest Snake of the World for Sale, 25 000 €",55113253.0,3957.0,"46,705",Entertainment,2008
33,IdentityIQ Best-Rated Credit Report Monitoring,16676560.0,29.0,0,Sin Categoría,2022
34,kwn - worst behaviour (Official Video) ft. Kehlani,4386564.0,159903.0,0,Music,2025
35,Polo G - Flex (Official Audio) ft. Juice WRLD,3845186.0,122706.0,"1,305",Music,2020
36,Hanumankind - Run It Up ( Prod. By Kalmi ) | (Official Music Video),28181241.0,1772692.0,0,Music,2025
37,basic instinct,6484622.0,1102.0,271,Entertainment,2006
38,CUPRA Leon e-HYBRID,3873121.0,4.0,0,Sin Categoría,2021
39,The JAWS OF DEATH AROUND ME my story,15694317.0,2156.0,"16,530",Pets & Animals,2007
40,Remember Me (기억해줘요 내 모든 날과 그때를),5272487.0,20088.0,0,Music,2024
41,"Pedro Capó, Farruko - Calma (Remix - Official Video)",2993030499.0,13840531.0,0,Music,2018
42,Dog meets baby kitten,5856946.0,2705.0,83,People & Blogs,2014
43,KINEGRAM - Making identity documents secure,12643841.0,14.0,0,Sin Categoría,2022
44,JD Pantoja - 12•19 (Official Video),7010732.0,1027392.0,"34,185",Music,2020
45,Suzuki Hayabusa with Turbo Vmax 390kmh,20146924.0,11010.0,"1,095",Autos & Vehicles,2006
46,Libianca - People (Visualiser) ft. Becky G,5353676.0,113198.0,0,Music,2023
47,Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights,514694.0,2742.0,69,Sports,2017
48,Encuentra POP Queso Cheddar.,21786732.0,7102.0,0,Sin Categoría,2023
49,Rhapsody of Sadness,3409906.0,18968.0,0,Music,2023
50,Aydem Enerji - Hayat için enerji,3102751.0,8.0,0,Sin Categoría,2020
51,Starcraft 2 Gameplay footage and unit preview,7529927.0,6075.0,772,Entertainment,2007
52,Maradonna Gods Hand,3777997.0,2300.0,854,Sports,2007
53,"Smartpress - Premium Print for Designers, Agencies and Brands",2985300.0,1.0,0,Sin Categoría,2020
54,Jay Wheeler - Xexo (Official Video),5038848.0,93112.0,0,Music,2023
55,"GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)",5461432.0,159823.0,0,Music,2024
56,"Sir Nicholas Winton - BBC Programme ""That's Life"" aired in 1988",39407674.0,97009.0,747,Education,2009
57,Why athletes should wear pants,17802747.0,2935.0,"46,151",Sports,2008
58,Kurdish KANGAL vs.American Pitbull Terrier Dog Fight 2008,8066421.0,1267.0,"5,689",Pets & Animals,2008
59,"Acompaña a Carlos Andres Acosta, mientras nos muestra la nueva Kia Sportage 2023",8690900.0,10.0,0,Sin Categoría,2022
60,Если мент....,10748286.0,7504.0,"4,116",Music,2010
61,Wedding first dance w/ surprise Jack Johnson Michael Jackson,16485606.0,15813.0,"1,360",Comedy,2007
62,Polo G - Be Something (Official Audio) ft. Lil Baby,2692740.0,99982.0,"2,393",Music,2020
63,Bureau Vallée - papeterie et Fournitures de bureau,21596623.0,7.0,3,Film & Animation,2019
64,Static & Ben El - Bella,3305681.0,10461.0,626,Music,2021
65,Police take advantage of a Drunk Girl,36311875.0,24016.0,"4,340",News & Politics,2008
66,Big nipples,13591249.0,1951.0,"1,628",Comedy,2006
67,2020新生活CP「始まりの日」15秒,9857163.0,13.0,0,Sin Categoría,2020
